name,kind,units,equation,vensim_comment,views,inputs,outputs,n_inputs,n_outputs,priority,purpose,logic,assumption,source,calibration,interpretation,status,suggested_priority,suggested_reason,needs_source,needs_assumption
Disposable Income after Transport,auxiliary,EUR/Household,"MAX(0, Mean Household Income - Transport Cost per Household )","Disposable Income after Transport
 
 Verfügbares Haushaltseinkommen nach Abzug der Transportkosten.
 
 Die MAX-Funktion verhindert negative Werte. Diese Variable
 wird später in der AMM-Budgetlogik auf Wohnen und sonstigen
 Konsum aufgeteilt.",03_Income_and_Productivity; 05_AMM_Budget_and_Housing_Demand,Mean Household Income; Transport Cost per Household,Housing Land Expenditure; Other Consumption Per Household z,2,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Economic Pressure,auxiliary,Dmnl,1 + (Import Dependence ^ 2),"Economic Pressure
 
 Dimensionsloser Druckfaktor aus Import Dependence.
 
 Je stärker die Unterdeckung der Nahrungsmittelproduktion ist,
 desto höher wird dieser Druckfaktor. Er kann später in der
 Land-Conversion-Logik verwendet werden.",08_Agriculture_and_Scarcity,Import Dependence,,1,0,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Equivalent Number of Large Cities,auxiliary,Dmnl,Urban Population Total * (Share Large City / Representative Large City Size ),"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.",11_Innovation_and_City_Size,Representative Large City Size; Share Large City; Urban Population Total,Innovation Large,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Equivalent Number of Medium Cities,auxiliary,Dmnl,Urban Population Total * (Share Medium City / Representative Medium City Size ),"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.",11_Innovation_and_City_Size,Representative Medium City Size; Share Medium City; Urban Population Total,Innovation Medium,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Equivalent Number of Small Cities,auxiliary,Dmnl,Urban Population Total * (Share Small City / Representative Small City Size ),"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.",11_Innovation_and_City_Size,Representative Small City Size; Share Small City; Urban Population Total,Innovation Small,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Equivalent Number of Very Large Cities,auxiliary,Dmnl,Urban Population Total * (Share very Large City / Representative Very Large City Size),"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.",11_Innovation_and_City_Size,Representative Very Large City Size; Share very Large City; Urban Population Total,Innovation very Large,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Household Capacity of Current Urban Land,auxiliary,Household,Urban Land / Land Demand per Household q,"Anzahl Haushalte, die bei aktueller Urban Land und aktuellem Land Demand per Household theoretisch Platz hätten.",09_Urban_Land_Conversion_Logic,Land Demand per Household q; Urban Land,Household Clearing Gap,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Household Clearing Gap,auxiliary,Household,"MAX( 0, Number of Households - Household Capacity of Current Urban Land )",Positive Differenz zwischen benötigter Haushaltszahl und der Kapazität der aktuellen urbanen Fläche. Negative Werte werden auf null gesetzt.,09_Urban_Land_Conversion_Logic,Household Capacity of Current Urban Land; Number of Households; Urban Land,Additional Urban Land Needed for Clearing,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Household Scaling Factor,auxiliary,Dmnl,Number of Households / Reference Initial Number of Households,"Relativer Skalierungsfaktor der Haushaltszahl. Er sorgt dafür, dass die gewünschte urbane Fläche mit der Anzahl Haushalte wächst.",05_AMM_Budget_and_Housing_Demand,Number of Households; Reference Initial Number of Households,Desired Urban Land Total,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Housing Land Expenditure,auxiliary,EUR/Household,Housing Preference Share Alpha * Disposable Income after Transport,"Housing Land Expenditure
 
 Wohn- bzw. Landbudget eines durchschnittlichen Haushalts.
 
 Die Variable ergibt sich aus dem verfügbaren Haushaltseinkommen
 multipliziert mit dem Housing Preference Share Alpha.
 
 Sie bestimmt, wie viel ein Haushalt für urbane Landnutzung
 ausgeben kann.",04_Urban_Rent_and_Land_Tightness; 05_AMM_Budget_and_Housing_Demand,Disposable Income after Transport; Housing Preference Share Alpha,Initial Mean Urban Rent; Land Demand per Household q,2,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Import Dependence,auxiliary,Dmnl,"ZIDZ(Population kcal demand, Food Production)","Import Dependence
 
 Dimensionsloser Indikator für die Abhängigkeit von externer
 Nahrungsmittelversorgung.
 
 Ein Wert von 1 bedeutet, dass die modellierte Food Production
 den Kalorienbedarf deckt. Werte über 1 zeigen eine Unterdeckung.",08_Agriculture_and_Scarcity,Food Production; Population kcal demand,Economic Pressure,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Initial Mean Urban Rent,auxiliary,EUR/km2,INITIAL( Housing Land Expenditure / Reference Initial Land Demand per Household ),"Initial Mean Urban Rent
 
 Startwert der mittleren urbanen Miete.
 
 Der Wert wird aus dem anfänglichen Wohnbudget pro Haushalt
 und der anfänglichen Referenz-Landnachfrage pro Haushalt
 berechnet.",04_Urban_Rent_and_Land_Tightness,Housing Land Expenditure; Reference Initial Land Demand per Household,Desired Mean Urban Rent; Mean Urban Rent,2,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Land Tightness Index,auxiliary,Dmnl,"ZIDZ( Reference Initial Land Demand per Household, Current Urban Land per Household )","Land Tightness Index
 
 Dimensionsloser Knappheitsindex für urbane Fläche.
 
 Ein Wert von 1 bedeutet, dass die aktuelle urbane Fläche pro
 Haushalt dem Referenzwert entspricht.
 
 Werte über 1 bedeuten höhere Knappheit und erzeugen Druck
 auf die urbane Miete.",04_Urban_Rent_and_Land_Tightness,Current Urban Land per Household; Land per Household; Reference Initial Land Demand per Household; Urban Land,Desired Mean Urban Rent,4,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Land per Household,auxiliary,km2/Household,Land per Capita * Mean Household Size,Referenzwert für Landbedarf pro Haushalt. Er ergibt sich aus Land per Capita multipliziert mit Mean Household Size.,05_AMM_Budget_and_Housing_Demand,Land per Capita; Mean Household Size,Land Tightness Index,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Populational Need of Kcal in Km2,auxiliary,km2,"ZIDZ(Population kcal demand, Yield)","Target Value: Populational Need of Kcal in Km2
 
 Benötigte landwirtschaftliche Fläche, um den jährlichen
 Kalorienbedarf der Bevölkerung zu decken.
 
 Die Variable ergibt sich aus dem gesamten Kalorienbedarf
 geteilt durch den Ertrag pro km2.",08_Agriculture_and_Scarcity,Population kcal demand; Yield,Aggricultural Land Requirement; Agricultural Scarcity Index,2,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Reference Agricultural Scarcity Index,auxiliary,Dmnl,INITIAL(Agricultural Scarcity Index),"Reference Agricultural Scarcity Index
 
 Referenzwert des Agricultural Scarcity Index zu Beginn
 der Simulation.
 
 Dieser Wert dient dazu, spätere Knappheit relativ zum
 Startzustand zu interpretieren.",08_Agriculture_and_Scarcity,Agricultural Scarcity Index,Relative Agricultural Scarcity,1,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Reference Initial Desired Urban Land,auxiliary,km2,INITIAL(Desired Urban Land),Initialer Referenzwert der Desired Urban Land. Dieser Wert wird für die Skalierung der synthetischen AMM-Stadt verwendet.,05_AMM_Budget_and_Housing_Demand,Desired Urban Land; Urban Land,Urban Aggregate Scale Factor,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Reference Initial Number of Households,auxiliary,Household,INITIAL(Number of Households),"Initialer Referenzwert der Anzahl Haushalte. Er wird verwendet, um die Entwicklung der Haushaltszahl relativ zum Startjahr abzubilden.",05_AMM_Budget_and_Housing_Demand,Number of Households,Household Scaling Factor,1,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Reference Initial Urban Land,auxiliary,km2,INITIAL(Urban Land),"Reference Initial Urban Land
 
 Referenzwert der urbanen Fläche zu Beginn der Simulation.
 
 Dieser Wert wird verwendet, um relative Veränderungen der
 urbanen Fläche zu berechnen und spätere Skalierungsfaktoren
 zu bilden.",05_AMM_Budget_and_Housing_Demand; Macro_Ebene,Urban Land,Urban Aggregate Scale Factor; Urban Land Index,1,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Reference Other Consumption Per Household,auxiliary,EUR/Household,INITIAL(Other Consumption Per Household z),"Reference Other Consumption Per Household
 
 Referenzwert des sonstigen Konsums pro Haushalt zu Beginn
 der Simulation.
 
 Dieser Wert wird verwendet, um den aktuellen Konsum relativ
 zum Startzustand zu messen.",07_Cobb_Douglas_Utility,Other Consumption Per Household z,Relative Other Consumption per Household,1,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Relative Agricultural Scarcity,auxiliary,Dmnl,"ZIDZ( Agricultural Scarcity Index, Reference Agricultural Scarcity Index )","Relative Agricultural Scarcity
 
 Relative landwirtschaftliche Knappheit gegenüber dem Startzustand.
 
 Ein Wert von 1 entspricht der anfänglichen Knappheit.
 Werte über 1 zeigen zunehmende Knappheit.",08_Agriculture_and_Scarcity,Agricultural Scarcity Index; Reference Agricultural Scarcity Index,Desired Agricultural Rent,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Relative Land Demand per Household,auxiliary,Dmnl,"ZIDZ( Land Demand per Household q, Reference Initial Land Demand per Household )","Relative Land Demand per Household
 
 Dimensionsloser Index der Landnachfrage pro Haushalt.
 
 Ein Wert von 1 bedeutet, dass die Landnachfrage pro Haushalt
 dem Startwert entspricht. Werte über 1 zeigen eine höhere,
 Werte unter 1 eine tiefere Landnachfrage.",05_AMM_Budget_and_Housing_Demand; 07_Cobb_Douglas_Utility,Land Demand per Household q; Reference Initial Land Demand per Household,Cobb Douglas Utility Index,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Relative Other Consumption per Household,auxiliary,Dmnl,"ZIDZ( Other Consumption Per Household z, Reference Other Consumption Per Household )","Relative Other Consumption per Household
 
 Dimensionsloser Index des sonstigen Konsums pro Haushalt.
 
 Ein Wert von 1 bedeutet, dass der sonstige Konsum dem
 Startwert entspricht. Werte über 1 zeigen höheren Konsum,
 Werte unter 1 tieferen Konsum.",07_Cobb_Douglas_Utility,Other Consumption Per Household z; Reference Other Consumption Per Household,Cobb Douglas Utility Index,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Rent Gap Pressure Factor,auxiliary,Dmnl,"1 + ZIDZ(Current Fringe Rent Gap, Agricultural Rent)","Rent Gap Pressure Factor
 
 Dimensionsloser Druckfaktor aus der Rentendifferenz.
 
 Wenn die urbane Miete deutlich über der landwirtschaftlichen Rente
 liegt, steigt der Druck zur Landumwandlung.",09_Urban_Land_Conversion_Logic,Agricultural Rent; Current Fringe Rent Gap,,2,0,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Soil Protection,auxiliary,Dmnl,Spatial Planning * Soil Protection Factor,Dimensionsloser Boden- beziehungsweise Flächenschutzindex aus Spatial Planning und Soil Protection Factor.,10_Soil_Protection_and_Agricultural_Pressure,Soil Protection Factor; Spatial Planning,Soil Protection Effect,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Soil Protection Effect,auxiliary,Dmnl,"MAX(Max Ceiling Soil Protection, 1 / Soil Protection)","Begrenzungsfaktor der Boden- und Flächenschutzlogik. Der Effekt reduziert die mögliche Landumwandlung, wird aber durch Max Ceiling Soil Protection begrenzt.",10_Soil_Protection_and_Agricultural_Pressure,Max Ceiling Soil Protection; Soil Protection,,2,0,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Spatial Planning,auxiliary,Dmnl,Urban Land Index * Spatial Planing Factor,Planungsindex aus Urban Land Index und Spacial Planing Factor.,10_Soil_Protection_and_Agricultural_Pressure,Spatial Planing Factor; Urban Land; Urban Land Index,Soil Protection,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Time for Lookup,auxiliary,Dmnl,Time / Year Unit,"Time for Lookup
 
 Dimensionslose Zeitvariable für Lookup-Funktionen.
 
 Da Vensim Lookup-Argumente dimensionslos erwartet, wird Time
 durch Year Unit geteilt.",01_Population_Household,Year Unit,Expected Population,1,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Transport Cost per Household,auxiliary,EUR/Household,Average Commuting Distance * Transport Cost per km per Household,"Transport Cost per Household
 
 Jährliche Transportkosten eines durchschnittlichen Haushalts.
 
 Diese Variable wird später in der AMM-Budgetlogik vom
 Haushaltseinkommen abgezogen und beeinflusst dadurch die
 verfügbare Wohn- und Konsumnachfrage.",02_Transport_and_Commuting; 03_Income_and_Productivity,Average Commuting Distance; Transport Cost per km; Transport Cost per km per Household,Disposable Income after Transport,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Transport Cost per km per Capita,auxiliary,EUR/km/Person,2 * Average Workdays per Capita * Transport Cost per km,"Transport Cost per km per Capita
 
 Jährliche Transportkosten pro Kilometer und Person.
 Der Faktor 2 berücksichtigt Hin- und Rückweg.
 
 Diese Variable übersetzt die Transportkosten pro Kilometer
 in eine jährliche Belastung pro pendelnder Person.",02_Transport_and_Commuting,Average Workdays per Capita; Transport Cost per km,Transport Cost per km per Household,2,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Urban Land Index,auxiliary,Dmnl,"ZIDZ( Urban Land, Reference Initial Urban Land )","Urban Land Index
 
 Dimensionsloser Index der urbanen Fläche.
 
 Ein Wert von 1 bedeutet, dass Urban Land dem Startwert entspricht.
 Werte über 1 zeigen eine Zunahme der urbanen Fläche gegenüber
 dem Startzustand.",10_Soil_Protection_and_Agricultural_Pressure; Macro_Ebene,Initial Urban Land; Reference Initial Urban Land; Urban Land,Spatial Planning,3,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Urban Land Required for Households,auxiliary,km2,Land Demand per Household q * Number of Households,Direkter urbaner Flächenbedarf der Haushalte ohne AMM-Fringe-Skalierung.,05_AMM_Budget_and_Housing_Demand,Land Demand per Household q; Number of Households,,2,0,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Average Commuting Distance,constant,km,14,"Average Commuting Distance
 
 Durchschnittliche Pendeldistanz.
 Diese Distanz wird mit den jährlichen Transportkosten pro
 Kilometer und Haushalt multipliziert.",02_Transport_and_Commuting,,Transport Cost per Household,0,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Average Workdays per Capita,constant,Dmnl/Person,230,"Average Workdays per Capita
 
 Annualisierungsfaktor für die Transportkosten.
 Der Wert gibt an, wie viele Arbeitstage bzw. Pendeltage
 pro Person und Jahr angenommen werden.
 
 Der Faktor 2 in der Transportkostenrechnung steht für
 Hin- und Rückweg.",02_Transport_and_Commuting,,Transport Cost per km per Capita,0,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Long Run Mean Household Size,constant,Person/Household,2.2,"Long Run Mean Household Size
 
 Langfristig angenommene durchschnittliche Haushaltsgrösse.
 Dieser Wert dient als Zielwert, dem sich Mean Household Size
 über die Zeit annähert.",01_Population_Household,,Desired Mean Household Size,0,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Representative Large City Size,constant,Dmnl,866000,Repräsentative Stadtgrösse der grossen Stadtklasse. Der Wert wird zur Approximation der Anzahl grosser Städte und ihres Innovationsbeitrags verwendet.,11_Innovation_and_City_Size,,Equivalent Number of Large Cities; Innovation Large,0,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Representative Medium City Size,constant,Dmnl,316000,Repräsentative Stadtgrösse der mittleren Stadtklasse. Der Wert wird zur Approximation der Anzahl mittlerer Städte und ihres Innovationsbeitrags verwendet.,11_Innovation_and_City_Size,,Equivalent Number of Medium Cities; Innovation Medium,0,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Representative Small City Size,constant,Dmnl,100000,Repräsentative Stadtgrösse der kleinen Stadtklasse. Der Wert wird zur Approximation der Anzahl kleiner Städte und ihres Innovationsbeitrags verwendet.,11_Innovation_and_City_Size,,Equivalent Number of Small Cities; Innovation Small,0,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Representative Very Large City Size,constant,Dmnl,2.5e+06,Repräsentative Stadtgrösse der sehr grossen Stadtklasse. Der Wert wird zur Approximation der Anzahl sehr grosser Städte und ihres Innovationsbeitrags verwendet.,11_Innovation_and_City_Size,,Equivalent Number of Very Large Cities; Innovation very Large,0,2,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Year Unit,constant,Year,1,"Year Unit
 
 Technische Hilfsvariable zur Umwandlung von Time in einen
 dimensionslosen Wert für Lookup-Funktionen.",01_Population_Household,,Time for Lookup,0,1,low,,,,,,,todo,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
